Year,County,GDPPC
2005,Longshan,3469.00
2005,Changsha,24612.00
2005,Wangcheng,14659.00
2005,Ningxiang,11687.00
2005,Liuyang,13406.00
2005,Zhuzhou,8546.00
2005,You,10944.00
2005,Chaling,8040.00
2005,Yanling,7383.00
2005,Liling,11688.00
2005,Xiangtan,7246.00
2005,Xiangxiang,7866.00
2005,Shaoshan,14381.00
2005,Hengyang,7246.00
2005,Hengnan,8217.00
2005,Hengshan,8035.00
2005,Hengdong,8066.00
2005,Qidong,8000.00
2005,Leiyang,8965.00
2005,Changning,7906.00
2005,Shaodong,6752.00
2005,Xinshao,4357.00
2005,Shaoyang,3609.00
2005,Longhui,3677.00
2005,Dongkou,5375.00
2005,Suining,7369.00
2005,Xinning,4024.00
2005,Chengbu,5897.00
2005,Wugang,4889.00
2005,Yueyang,7936.00
2005,Huarong,7234.00
2005,Xiangyin,9496.00
2005,Pingjiang,5817.00
2005,Miluo,8677.00
2005,Linxiang,7708.00
2005,Anxiang,8184.00
2005,Hanshou,6560.00
2005,Li,8394.00
2005,Linli,8850.00
2005,Taoyuan,8407.00
2005,Shimen,9244.00
2005,Jinshi,9956.00
2005,Cili,5703.00
2005,Sangzhi,4545.00
2005,Nan,6376.00
2005,Taojiang,5640.00
2005,Anhua,4411.00
2005,Yuanjiang,8681.00
2005,Guiyang,8933.00
2005,Yizhang,8428.00
2005,Yongxing,9494.00
2005,Jiahe,9622.00
2005,Linwu,11651.00
2005,Rucheng,8534.00
2005,Guidong,4528.00
2005,Anren,7423.00
2005,Zixing,16471.00
2005,Qiyang,7487.00
2005,Dongan,7374.00
2005,Shuangpai,8693.00
2005,Dao,6040.00
2005,Jiangyong,5977.00
2005,Ningyuan,4297.00
2005,Lanshan,6223.00
2005,Xintian,5272.00
2005,Jianghua,5420.00
2005,Zhongfang,7420.00
2005,Yuanling,7488.00
2005,Chenxi,4432.00
2005,Xupu,4670.00
2005,Huitong,4439.00
2005,Mayang,4177.00
2005,Xinhuang,4245.00
2005,Zhijiang,5315.00
2005,Jingzhou,5891.00
2005,Tongdao,3885.00
2005,Hongjiang,5514.00
2005,Shuangfeng,5868.00
2005,Xinhua,3390.00
2005,Lengshuijiang,18478.00
2005,Lianyuan,5959.00
2005,Jishou,12970.00
2005,Luxi,3701.00
2005,Fenghuang,3770.00
2005,Huayuan,6784.00
2005,Baojing,4612.00
2005,Guzhang,3893.00
2005,Yongshun,3315.00
2006,Longshan,3809.00
2006,Changsha,29407.00
2006,Wangcheng,17082.00
2006,Ningxiang,13647.00
2006,Liuyang,15631.00
2006,Zhuzhou,10116.00
2006,You,12356.00
2006,Chaling,9053.00
2006,Yanling,8059.00
2006,Liling,14000.00
2006,Xiangtan,8578.00
2006,Xiangxiang,9192.00
2006,Shaoshan,16565.00
2006,Hengyang,8068.00
2006,Hengnan,9173.00
2006,Hengshan,8964.00
2006,Hengdong,9249.00
2006,Qidong,8958.00
2006,Leiyang,10507.00
2006,Changning,9000.00
2006,Shaodong,8005.00
2006,Xinshao,4972.00
2006,Shaoyang,4064.00
2006,Longhui,3976.00
2006,Dongkou,6050.00
2006,Suining,8500.00
2006,Xinning,4533.00
2006,Chengbu,6325.00
2006,Wugang,5533.00
2006,Yueyang,9277.00
2006,Huarong,10802.00
2006,Xiangyin,10765.00
2006,Pingjiang,6570.00
2006,Miluo,10659.00
2006,Linxiang,8973.00
2006,Anxiang,10995.00
2006,Hanshou,7422.00
2006,Li,10304.00
2006,Linli,9855.00
2006,Taoyuan,9461.00
2006,Shimen,10556.00
2006,Jinshi,11223.00
2006,Cili,6463.00
2006,Sangzhi,5121.00
2006,Nan,7013.00
2006,Taojiang,6437.00
2006,Anhua,5048.00
2006,Yuanjiang,9894.00
2006,Guiyang,10439.00
2006,Yizhang,9752.00
2006,Yongxing,10978.00
2006,Jiahe,11021.00
2006,Linwu,12031.00
2006,Rucheng,9461.00
2006,Guidong,5548.00
2006,Anren,8832.00
2006,Zixing,18172.00
2006,Qiyang,8298.00
2006,Dongan,8436.00
2006,Shuangpai,10070.00
2006,Dao,6925.00
2006,Jiangyong,6482.00
2006,Ningyuan,4851.00
2006,Lanshan,8135.00
2006,Xintian,5910.00
2006,Jianghua,6241.00
2006,Zhongfang,8467.00
2006,Yuanling,8552.00
2006,Chenxi,5311.00
2006,Xupu,5196.00
2006,Huitong,5580.00
2006,Mayang,4807.00
2006,Xinhuang,5334.00
2006,Zhijiang,6517.00
2006,Jingzhou,7162.00
2006,Tongdao,4353.00
2006,Hongjiang,6313.00
2006,Shuangfeng,6546.00
2006,Xinhua,3768.00
2006,Lengshuijiang,22520.00
2006,Lianyuan,7044.00
2006,Jishou,14611.00
2006,Luxi,4468.00
2006,Fenghuang,4284.00
2006,Huayuan,10496.00
2006,Baojing,5555.00
2006,Guzhang,4297.00
2006,Yongshun,3666.00
2007,Longshan,4702.00
2007,Changsha,36272.00
2007,Wangcheng,21044.00
2007,Ningxiang,16675.00
2007,Liuyang,19151.00
2007,Zhuzhou,11301.00
2007,You,15358.00
2007,Chaling,9756.00
2007,Yanling,10996.00
2007,Liling,15769.00
2007,Xiangtan,11140.00
2007,Xiangxiang,11950.00
2007,Shaoshan,20622.00
2007,Hengyang,9495.00
2007,Hengnan,10505.00
2007,Hengshan,10328.00
2007,Hengdong,11563.00
2007,Qidong,11343.00
2007,Leiyang,12086.00
2007,Changning,10455.00
2007,Shaodong,9197.00
2007,Xinshao,5961.00
2007,Shaoyang,4704.00
2007,Longhui,4477.00
2007,Dongkou,7013.00
2007,Suining,10283.00
2007,Xinning,5389.00
2007,Chengbu,6839.00
2007,Wugang,6334.00
2007,Yueyang,12043.00
2007,Huarong,13648.00
2007,Xiangyin,13413.00
2007,Pingjiang,8065.00
2007,Miluo,13949.00
2007,Linxiang,11710.00
2007,Anxiang,12670.00
2007,Hanshou,8512.00
2007,Li,11048.00
2007,Linli,11373.00
2007,Taoyuan,11371.00
2007,Shimen,11760.00
2007,Jinshi,14258.00
2007,Cili,7841.00
2007,Sangzhi,6194.00
2007,Nan,8463.00
2007,Taojiang,8007.00
2007,Anhua,6130.00
2007,Yuanjiang,12085.00
2007,Guiyang,12879.00
2007,Yizhang,9437.00
2007,Yongxing,14022.00
2007,Jiahe,13019.00
2007,Linwu,14108.00
2007,Rucheng,8786.00
2007,Guidong,5876.00
2007,Anren,7243.00
2007,Zixing,22947.00
2007,Qiyang,9996.00
2007,Dongan,10408.00
2007,Shuangpai,10869.00
2007,Dao,8557.00
2007,Jiangyong,7789.00
2007,Ningyuan,5991.00
2007,Lanshan,10033.00
2007,Xintian,7231.00
2007,Jianghua,6931.00
2007,Zhongfang,10660.00
2007,Yuanling,10669.00
2007,Chenxi,6556.00
2007,Xupu,6603.00
2007,Huitong,6993.00
2007,Mayang,5962.00
2007,Xinhuang,6812.00
2007,Zhijiang,8115.00
2007,Jingzhou,9246.00
2007,Tongdao,5331.00
2007,Hongjiang,7906.00
2007,Shuangfeng,8357.00
2007,Xinhua,4806.00
2007,Lengshuijiang,27434.00
2007,Lianyuan,8648.00
2007,Jishou,17584.00
2007,Luxi,6244.00
2007,Fenghuang,5524.00
2007,Huayuan,14473.00
2007,Baojing,7282.00
2007,Guzhang,5085.00
2007,Yongshun,4456.00
2008,Longshan,5796.00
2008,Changsha,46371.00
2008,Wangcheng,28581.00
2008,Ningxiang,22659.00
2008,Liuyang,25545.00
2008,Zhuzhou,14209.00
2008,You,18462.00
2008,Chaling,12069.00
2008,Yanling,11434.00
2008,Liling,19447.00
2008,Xiangtan,13364.00
2008,Xiangxiang,14424.00
2008,Shaoshan,25249.00
2008,Hengyang,11057.00
2008,Hengnan,12351.00
2008,Hengshan,12627.00
2008,Hengdong,13874.00
2008,Qidong,13469.00
2008,Leiyang,14731.00
2008,Changning,12898.00
2008,Shaodong,11413.00
2008,Xinshao,7055.00
2008,Shaoyang,5759.00
2008,Longhui,5336.00
2008,Dongkou,8018.00
2008,Suining,10834.00
2008,Xinning,6295.00
2008,Chengbu,7744.00
2008,Wugang,7751.00
2008,Yueyang,14860.00
2008,Huarong,16722.00
2008,Xiangyin,16070.00
2008,Pingjiang,9748.00
2008,Miluo,16968.00
2008,Linxiang,15351.00
2008,Anxiang,14128.00
2008,Hanshou,11478.00
2008,Li,12723.00
2008,Linli,14564.00
2008,Taoyuan,13197.00
2008,Shimen,12902.00
2008,Jinshi,16969.00
2008,Cili,8817.00
2008,Sangzhi,7157.00
2008,Nan,10120.00
2008,Taojiang,9985.00
2008,Anhua,7230.00
2008,Yuanjiang,14482.00
2008,Guiyang,14943.00
2008,Yizhang,13391.00
2008,Yongxing,16973.00
2008,Jiahe,15285.00
2008,Linwu,13441.00
2008,Rucheng,6366.00
2008,Guidong,5932.00
2008,Anren,8804.00
2008,Zixing,29006.00
2008,Qiyang,11495.00
2008,Dongan,11989.00
2008,Shuangpai,13854.00
2008,Dao,10012.00
2008,Jiangyong,10172.00
2008,Ningyuan,7051.00
2008,Lanshan,11564.00
2008,Xintian,8312.00
2008,Jianghua,8578.00
2008,Zhongfang,14660.00
2008,Yuanling,12259.00
2008,Chenxi,7868.00
2008,Xupu,7354.00
2008,Huitong,8168.00
2008,Mayang,7130.00
2008,Xinhuang,8479.00
2008,Zhijiang,10145.00
2008,Jingzhou,11398.00
2008,Tongdao,6655.00
2008,Hongjiang,9739.00
2008,Shuangfeng,9517.00
2008,Xinhua,5622.00
2008,Lengshuijiang,33518.00
2008,Lianyuan,10396.00
2008,Jishou,19997.00
2008,Luxi,8003.00
2008,Fenghuang,6491.00
2008,Huayuan,17460.00
2008,Baojing,8754.00
2008,Guzhang,6354.00
2008,Yongshun,5361.00
2009,Longshan,6586.00
2009,Changsha,64022.00
2009,Wangcheng,37231.00
2009,Ningxiang,29326.00
2009,Liuyang,31397.00
2009,Zhuzhou,15699.00
2009,You,20105.00
2009,Chaling,13154.00
2009,Yanling,12769.00
2009,Liling,21856.00
2009,Xiangtan,14634.00
2009,Xiangxiang,16184.00
2009,Shaoshan,26459.00
2009,Hengyang,12198.00
2009,Hengnan,13334.00
2009,Hengshan,15357.00
2009,Hengdong,16461.00
2009,Qidong,13516.00
2009,Leiyang,17756.00
2009,Changning,14905.00
2009,Shaodong,13348.00
2009,Xinshao,6681.00
2009,Shaoyang,6201.00
2009,Longhui,5888.00
2009,Dongkou,7873.00
2009,Suining,10645.00
2009,Xinning,6748.00
2009,Chengbu,6690.00
2009,Wugang,7797.00
2009,Yueyang,16940.00
2009,Huarong,19538.00
2009,Xiangyin,18089.00
2009,Pingjiang,10617.00
2009,Miluo,22143.00
2009,Linxiang,20713.00
2009,Anxiang,16763.00
2009,Hanshou,12140.00
2009,Li,15786.00
2009,Linli,16160.00
2009,Taoyuan,14759.00
2009,Shimen,17355.00
2009,Jinshi,20528.00
2009,Cili,10653.00
2009,Sangzhi,8282.00
2009,Nan,12410.00
2009,Taojiang,11818.00
2009,Anhua,8528.00
2009,Yuanjiang,14923.00
2009,Guiyang,17184.00
2009,Yizhang,10292.00
2009,Yongxing,19164.00
2009,Jiahe,17190.00
2009,Linwu,15375.00
2009,Rucheng,5707.00
2009,Guidong,5615.00
2009,Anren,6386.00
2009,Zixing,32958.00
2009,Qiyang,12173.00
2009,Dongan,13364.00
2009,Shuangpai,14984.00
2009,Dao,10982.00
2009,Jiangyong,8937.00
2009,Ningyuan,7649.00
2009,Lanshan,12406.00
2009,Xintian,9089.00
2009,Jianghua,9605.00
2009,Zhongfang,16912.00
2009,Yuanling,13596.00
2009,Chenxi,9099.00
2009,Xupu,7855.00
2009,Huitong,8069.00
2009,Mayang,8044.00
2009,Xinhuang,8029.00
2009,Zhijiang,11462.00
2009,Jingzhou,11994.00
2009,Tongdao,7491.00
2009,Hongjiang,10227.00
2009,Shuangfeng,9553.00
2009,Xinhua,7037.00
2009,Lengshuijiang,35033.00
2009,Lianyuan,10330.00
2009,Jishou,22675.00
2009,Luxi,11100.00
2009,Fenghuang,8412.00
2009,Huayuan,18150.00
2009,Baojing,10974.00
2009,Guzhang,7061.00
2009,Yongshun,6051.00
2010,Longshan,7524.00
2010,Changsha,70604.01
2010,Wangcheng,46470.71
2010,Ningxiang,40403.58
2010,Liuyang,42619.32
2010,Zhuzhou,19542.00
2010,You,25129.00
2010,Chaling,15077.00
2010,Yanling,15045.00
2010,Liling,27737.00
2010,Xiangtan,17809.00
2010,Xiangxiang,19930.00
2010,Shaoshan,33571.00
2010,Hengyang,14328.00
2010,Hengnan,16146.00
2010,Hengshan,18130.00
2010,Hengdong,19781.00
2010,Qidong,14138.00
2010,Leiyang,21325.00
2010,Changning,17739.00
2010,Shaodong,18090.00
2010,Xinshao,7825.00
2010,Shaoyang,7352.00
2010,Longhui,6944.00
2010,Dongkou,9331.00
2010,Suining,12280.00
2010,Xinning,7779.00
2010,Chengbu,7628.00
2010,Wugang,8749.00
2010,Yueyang,19809.00
2010,Huarong,23666.00
2010,Xiangyin,23468.00
2010,Pingjiang,12527.00
2010,Miluo,26689.00
2010,Linxiang,23986.00
2010,Anxiang,19817.00
2010,Hanshou,15906.00
2010,Li,18426.00
2010,Linli,19273.00
2010,Taoyuan,17401.00
2010,Shimen,20501.00
2010,Jinshi,24824.00
2010,Cili,13345.00
2010,Sangzhi,9893.00
2010,Nan,14130.00
2010,Taojiang,13949.00
2010,Anhua,9924.00
2010,Yuanjiang,18469.00
2010,Guiyang,22468.00
2010,Yizhang,12483.00
2010,Yongxing,26600.00
2010,Jiahe,22247.00
2010,Linwu,18416.00
2010,Rucheng,7629.00
2010,Guidong,6406.00
2010,Anren,9171.00
2010,Zixing,45207.00
2010,Qiyang,14839.00
2010,Dongan,15645.00
2010,Shuangpai,17322.00
2010,Dao,13118.00
2010,Jiangyong,12678.00
2010,Ningyuan,9097.00
2010,Lanshan,14625.00
2010,Xintian,10379.00
2010,Jianghua,11445.00
2010,Zhongfang,21265.00
2010,Yuanling,16385.00
2010,Chenxi,11367.00
2010,Xupu,9186.00
2010,Huitong,9679.00
2010,Mayang,10097.00
2010,Xinhuang,10221.00
2010,Zhijiang,14069.00
2010,Jingzhou,14104.00
2010,Tongdao,8794.00
2010,Hongjiang,12107.00
2010,Shuangfeng,11320.00
2010,Xinhua,8582.00
2010,Lengshuijiang,43373.00
2010,Lianyuan,12269.00
2010,Jishou,24730.00
2010,Luxi,13518.00
2010,Fenghuang,9801.00
2010,Huayuan,17517.00
2010,Baojing,11906.00
2010,Guzhang,8301.00
2010,Yongshun,7057.00
2011,Longshan,8701.00
2011,Changsha,80356.00
2011,Wangcheng,62293.00
2011,Ningxiang,54648.25
2011,Liuyang,54768.72
2011,Zhuzhou,24082.00
2011,You,31450.00
2011,Chaling,17668.00
2011,Yanling,17961.00
2011,Liling,35669.00
2011,Xiangtan,22347.00
2011,Xiangxiang,25635.00
2011,Shaoshan,45806.00
2011,Hengyang,17014.00
2011,Hengnan,19335.00
2011,Hengshan,22094.00
2011,Hengdong,24044.00
2011,Qidong,16139.00
2011,Leiyang,25415.00
2011,Changning,21594.00
2011,Shaodong,22479.00
2011,Xinshao,10127.00
2011,Shaoyang,8792.00
2011,Longhui,8509.00
2011,Dongkou,11678.00
2011,Suining,14294.00
2011,Xinning,9442.00
2011,Chengbu,9260.00
2011,Wugang,10746.00
2011,Yueyang,23151.46
2011,Huarong,28734.07
2011,Xiangyin,28712.92
2011,Pingjiang,15105.53
2011,Miluo,37507.74
2011,Linxiang,28255.98
2011,Anxiang,22840.00
2011,Hanshou,18561.00
2011,Li,21847.00
2011,Linli,23172.00
2011,Taoyuan,20558.00
2011,Shimen,24409.00
2011,Jinshi,30286.00
2011,Cili,16696.00
2011,Sangzhi,12722.00
2011,Nan,18812.00
2011,Taojiang,16987.00
2011,Anhua,12374.00
2011,Yuanjiang,22897.00
2011,Guiyang,28690.00
2011,Yizhang,15822.00
2011,Yongxing,32953.00
2011,Jiahe,28612.00
2011,Linwu,21323.00
2011,Rucheng,10056.00
2011,Guidong,7601.00
2011,Anren,11395.00
2011,Zixing,58313.00
2011,Qiyang,18597.00
2011,Dongan,18744.00
2011,Shuangpai,20239.00
2011,Dao,16127.00
2011,Jiangyong,15298.00
2011,Ningyuan,11221.00
2011,Lanshan,17893.00
2011,Xintian,12860.00
2011,Jianghua,13981.00
2011,Zhongfang,26145.00
2011,Yuanling,20453.00
2011,Chenxi,14509.00
2011,Xupu,11749.00
2011,Huitong,12212.00
2011,Mayang,11862.00
2011,Xinhuang,13002.00
2011,Zhijiang,17762.00
2011,Jingzhou,17550.00
2011,Tongdao,11003.00
2011,Hongjiang,15117.00
2011,Shuangfeng,14788.00
2011,Xinhua,11135.00
2011,Lengshuijiang,55692.00
2011,Lianyuan,15624.00
2011,Jishou,28482.00
2011,Luxi,17236.00
2011,Fenghuang,11974.00
2011,Huayuan,18850.00
2011,Baojing,13374.00
2011,Guzhang,10086.00
2011,Yongshun,8667.00
2012,Longshan,9754.00
2012,Changsha,88656.00
2012,Wangcheng,70666.00
2012,Ningxiang,62202.00
2012,Liuyang,63118.00
2012,Zhuzhou,27589.00
2012,You,36264.00
2012,Chaling,20078.00
2012,Yanling,21021.00
2012,Liling,41491.00
2012,Xiangtan,27060.00
2012,Xiangxiang,29361.00
2012,Shaoshan,55570.00
2012,Hengyang,19382.00
2012,Hengnan,21911.00
2012,Hengshan,25172.00
2012,Hengdong,27485.00
2012,Qidong,18001.00
2012,Leiyang,26105.00
2012,Changning,24418.00
2012,Shaodong,25246.00
2012,Xinshao,11514.00
2012,Shaoyang,9653.00
2012,Longhui,9572.00
2012,Dongkou,13240.00
2012,Suining,16069.00
2012,Xinning,10732.00
2012,Chengbu,10132.00
2012,Wugang,12112.00
2012,Yueyang,26360.00
2012,Huarong,30413.00
2012,Xiangyin,33983.00
2012,Pingjiang,17252.00
2012,Miluo,42497.00
2012,Linxiang,31897.00
2012,Anxiang,23667.00
2012,Hanshou,20981.00
2012,Li,24473.00
2012,Linli,25554.00
2012,Taoyuan,22879.00
2012,Shimen,27137.00
2012,Jinshi,34592.00
2012,Cili,18714.00
2012,Sangzhi,14624.00
2012,Nan,21311.46
2012,Taojiang,19509.00
2012,Anhua,14567.00
2012,Yuanjiang,26258.00
2012,Guiyang,32853.00
2012,Yizhang,17814.00
2012,Yongxing,37651.00
2012,Jiahe,32091.00
2012,Linwu,23986.00
2012,Rucheng,11286.00
2012,Guidong,8497.00
2012,Anren,12761.00
2012,Zixing,65706.00
2012,Qiyang,20638.00
2012,Dongan,20901.00
2012,Shuangpai,21942.00
2012,Dao,18059.00
2012,Jiangyong,17168.00
2012,Ningyuan,12697.00
2012,Lanshan,20088.00
2012,Xintian,14426.00
2012,Jianghua,15801.00
2012,Zhongfang,30846.00
2012,Yuanling,24194.00
2012,Chenxi,17026.00
2012,Xupu,13863.00
2012,Huitong,14334.00
2012,Mayang,13744.00
2012,Xinhuang,15412.00
2012,Zhijiang,20518.00
2012,Jingzhou,20348.00
2012,Tongdao,12781.00
2012,Hongjiang,17733.00
2012,Shuangfeng,17755.00
2012,Xinhua,13398.00
2012,Lengshuijiang,64257.00
2012,Lianyuan,18346.00
2012,Jishou,31537.00
2012,Luxi,17472.00
2012,Fenghuang,13382.00
2012,Huayuan,20337.00
2012,Baojing,14563.00
2012,Guzhang,11580.00
2012,Yongshun,9590.00
2013,Longshan,10791.00
2013,Changsha,97249.00
2013,Wangcheng,79195.00
2013,Ningxiang,69797.00
2013,Liuyang,71634.00
2013,Zhuzhou,30801.00
2013,You,40725.00
2013,Chaling,22363.00
2013,Yanling,24147.00
2013,Liling,46052.00
2013,Xiangtan,30636.00
2013,Xiangxiang,33585.00
2013,Shaoshan,61301.00
2013,Hengyang,21419.00
2013,Hengnan,23818.00
2013,Hengshan,27622.00
2013,Hengdong,30326.00
2013,Qidong,19849.00
2013,Leiyang,27600.00
2013,Changning,27057.00
2013,Shaodong,27817.00
2013,Xinshao,12649.00
2013,Shaoyang,10531.00
2013,Longhui,10191.00
2013,Dongkou,14480.00
2013,Suining,17604.00
2013,Xinning,11834.00
2013,Chengbu,10595.00
2013,Wugang,12657.00
2013,Yueyang,29171.00
2013,Huarong,33611.00
2013,Xiangyin,37621.00
2013,Pingjiang,19076.00
2013,Miluo,47066.00
2013,Linxiang,35394.00
2013,Anxiang,24012.00
2013,Hanshou,24034.00
2013,Li,27721.00
2013,Linli,27994.00
2013,Taoyuan,25691.00
2013,Shimen,30054.00
2013,Jinshi,38042.00
2013,Cili,20303.00
2013,Sangzhi,15672.00
2013,Nan,23479.00
2013,Taojiang,21511.00
2013,Anhua,16071.00
2013,Yuanjiang,28826.00
2013,Guiyang,36372.00
2013,Yizhang,25040.00
